,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text
17,,,437742,0,0,0,0,0,3,1.5,,0,Albert,0.0,18,False,,,45,437742.jpg,1.7,Sambi Lokonga,0.3,False,,a,1,3,32,0,0,0,0,0.0,7.1,Sambi,1129,0,0,7,11,0,0,0,5,0,0,0,173,192.4,263.4,108.0,56.3,262,109,138,89,243,126,240,108,,,,,,
18,,,444145,0,0,0,0,0,3,2.6,,0,Gabriel,0.0,19,False,,,60,444145.jpg,3.8,Martinelli Silva,12.8,False,,a,1,3,110,0,0,0,0,0.0,18.3,Martinelli,1855,6,7,7,25,0,0,0,1,1,0,6,345,475.8,483.3,786.0,174.7,120,48,64,46,32,20,45,31,4.0,,5.0,,2.0,
19,,,92371,0,0,0,0,0,2,2.3,,0,Pablo,0.0,20,False,,,45,92371.jpg,0.5,Marí Villar,0.1,False,,a,1,3,1,0,0,0,0,0.0,0.2,Pablo Marí,180,0,0,0,4,0,0,0,1,0,0,0,35,55.4,12.3,11.0,7.9,330,129,330,130,318,128,346,131,,,,,,
20,,,154043,0,0,0,0,0,3,2.0,,0,Ainsley,0.0,21,False,,,50,154043.jpg,1.5,Maitland-Niles,0.1,False,,a,1,3,12,0,0,0,0,0.0,2.4,Maitland-Niles,263,0,0,2,4,0,0,0,0,0,0,0,44,42.6,41.3,9.0,9.3,343,150,291,144,320,154,340,153,,,,,,
21,,,198849,0,0,0,0,0,3,1.5,,0,Lucas,0.0,22,False,,,45,198849.jpg,0.0,Torreira di Pascua,0.6,False,,a,1,3,0,0,0,0,0,0.0,0.0,Torreira,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,433,176,430,178,420,176,436,177,,,,,,
22,,,200641,0,0,0,0,0,3,2.0,,0,Reiss,0.0,23,False,,,50,200641.jpg,1.0,Nelson,0.0,False,,a,1,3,1,0,0,0,0,0.0,0.2,Nelson,19,0,0,0,1,0,0,0,0,0,0,0,4,4.0,11.6,20.0,3.6,376,165,332,158,310,152,360,159,,,,,,
23,,,224068,0,0,0,0,0,1,1.5,,0,Matt,0.0,24,False,,,40,224068.jpg,0.0,Turner,1.0,False,,a,1,3,0,0,0,0,0,0.0,0.0,Turner,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,399,43,390,33,374,21,401,43,,,,,,
24,,,438098,0,0,0,0,0,3,2.6,,0,Fábio,0.0,25,False,,,60,438098.jpg,0.0,Ferreira Vieira,0.7,False,,a,1,3,0,0,0,0,0,0.0,0.0,Fábio Vieira,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,516,223,516,223,516,223,516,223,,,,,,
25,,,462424,0,0,0,0,0,2,2.3,,0,William,0.0,26,False,,,45,462424.jpg,0.0,Saliba,0.7,False,,a,1,3,0,0,0,0,0,0.0,0.0,Saliba,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,457,180,453,180,445,180,459,180,,,,,,
26,,,479683,0,0,0,0,0,3,2.0,,0,Marcus,0.0,27,False,,,50,479683.jpg,0.0,Oliveira Alencar,0.2,False,,a,1,3,0,0,0,0,0,0.0,0.0,Marquinhos,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,494,209,494,210,491,210,495,210,,,,,,
27,,,205651,0,0,0,0,0,4,3.1,,0,Gabriel,0.0,28,False,,,80,205651.jpg,4.3,Fernando de Jesus,59.6,False,,a,1,3,120,0,0,0,0,0.0,15.0,Jesus,1871,8,8,11,15,0,0,0,1,0,0,16,488,567.4,530.9,1126.0,222.3,92,9,50,5,12,7,25,7,,,,,,
28,,,84583,0,0,0,0,0,3,2.9,,0,Philippe,0.0,29,False,,,70,84583.jpg,4.4,Coutinho Correia,20.4,False,,a,2,7,83,0,0,0,0,0.0,11.9,Coutinho,1327,5,3,7,17,0,0,0,0,0,0,7,283,360.8,349.3,445.0,115.7,181,70,104,72,81,46,105,64,4.0,,1.0,,,
